# Program:featureCounts v2.0.3; Command:"featureCounts" "-p" "-a" "refs/features.gff" "-o" "counts.txt" "bam/BORED_1.bam" "bam/BORED_2.bam" "bam/BORED_3.bam" "bam/EXCITED_1.bam" "bam/EXCITED_2.bam" "bam/EXCITED_3.bam" 
Geneid	Chr	Start	End	Strand	Length	bam/BORED_1.bam	bam/BORED_2.bam	bam/BORED_3.bam	bam/EXCITED_1.bam	bam/EXCITED_2.bam	bam/EXCITED_3.bam
AAA-750000-UP-4	Golden	1	1060	+	1060	16195	20965	17650	139541	89819	114169
ABA-187500-UP-4	Golden	1560	2083	+	524	1958	2160	2018	18398	13566	14715
ACA-46875-UP-4	Golden	2583	3616	+	1034	1009	1168	1010	8912	6128	7338
ADA-23438-UP-4	Golden	4116	5138	+	1023	412	484	480	3840	2456	3338
AEA-11719-UP-4	Golden	5638	7629	+	1992	522	622	564	4226	2824	3934
AFA-5859-UP-4	Golden	8129	9253	+	1125	134	218	196	1436	932	1252
AGA-2930-UP-4	Golden	9753	10274	+	522	76	118	72	626	410	544
AHA-2930-UP-4	Golden	10774	11545	+	772	74	102	64	630	382	476
AIA-1465-UP-4	Golden	12045	13068	+	1024	46	40	26	398	222	300
AJA-732-UP-4	Golden	13568	14212	+	645	10	16	8	66	42	42
AKA-732-UP-4	Golden	14712	15250	+	539	2	4	12	40	24	22
ALA-366-UP-4	Golden	15750	16773	+	1024	4	6	14	92	52	72
AMA-183-UP-4	Golden	17273	17810	+	538	6	0	4	12	20	12
ANA-183-UP-4	Golden	18310	19154	+	845	6	12	4	40	16	32
APA-92-UP-4	Golden	19654	20784	+	1131	4	4	4	18	20	16
ARA-46-UP-4	Golden	21284	23306	+	2023	0	6	0	4	6	8
ASA-46-UP-4	Golden	23806	24080	+	275	0	0	2	2	0	2
ATA-23-UP-4	Golden	24580	25603	+	1024	0	2	0	2	2	0
AUA-11-UP-4	Golden	26103	26626	+	524	0	0	0	4	0	0
AVA-11-UP-4	Golden	27126	27620	+	495	0	0	0	0	0	2
AWA-6-UP-4	Golden	28120	29142	+	1023	0	0	0	0	0	4
AXA-3-UP-4	Golden	29642	30778	+	1137	0	0	0	0	0	2
AYA-1-UP-4	Golden	31278	32300	+	1023	0	0	0	0	0	0
BAB-1500000-SAME-1	Golden	32800	33907	+	1108	41319	51616	45518	88524	57304	72942
BBB-375000-SAME-1	Golden	34407	34912	+	506	3846	4900	4240	7632	5356	6732
BCB-93750-SAME-1	Golden	35412	36396	+	985	1352	1470	1358	2820	1856	2318
BDB-46875-SAME-1	Golden	36896	37919	+	1024	1296	1544	1388	2980	2086	2488
BEB-23438-SAME-1	Golden	38419	38942	+	524	400	384	422	1006	664	698
BFB-11719-SAME-1	Golden	39442	40572	+	1131	204	288	228	502	250	372
BGB-5859-SAME-1	Golden	41072	43066	+	1995	278	354	262	572	378	472
BHB-5859-SAME-1	Golden	43566	43840	+	275	10	2	8	24	18	14
BIB-2930-SAME-1	Golden	44340	45363	+	1024	48	76	70	106	98	122
BJB-1465-SAME-1	Golden	45863	46357	+	495	2	16	14	6	6	14
BKB-1465-SAME-1	Golden	46857	47975	+	1119	16	14	14	44	14	34
BLB-732-SAME-1	Golden	48475	49494	+	1020	30	52	48	84	42	74
